time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,city
2021-03-15,19.6,15.7,24.2,1.1,,,11.1,,1014.5,,Antananarivo
2021-03-16,19.3,15.1,24.4,5.1,,,8.6,,1014.6,,Antananarivo
2021-03-17,19.1,15.3,24.4,13.0,,,8.4,,1014.7,,Antananarivo
2021-03-18,19.5,17.0,24.5,11.1,,,8.9,,1015.1,,Antananarivo
2021-03-19,19.6,16.4,25.3,5.8,,,8.5,,1015.0,,Antananarivo
2021-03-20,18.9,15.7,23.2,7.8,,,8.7,,1015.0,,Antananarivo
2021-03-21,19.2,15.3,24.6,4.9,,,9.3,,1014.2,,Antananarivo
2021-03-22,19.9,16.1,25.1,7.4,,,8.3,,1014.6,,Antananarivo
2021-03-23,20.2,16.9,25.0,8.5,,,6.5,,1015.8,,Antananarivo
2021-03-24,19.8,16.9,24.7,7.3,,,8.0,,1013.9,,Antananarivo
2021-03-25,20.3,17.3,25.1,11.0,,,4.2,,1011.8,,Antananarivo
2021-03-26,20.5,17.6,25.4,11.4,,,6.5,,1012.2,,Antananarivo
2021-03-27,20.4,16.1,25.8,9.0,,,8.3,,1012.4,,Antananarivo
2021-03-28,19.4,14.7,25.9,0.0,,,7.6,,1013.5,,Antananarivo
2021-03-29,19.4,15.3,25.5,0.0,,,6.3,,1013.9,,Antananarivo
2021-03-30,19.5,14.4,25.0,2.2,,,7.1,,1013.5,,Antananarivo
2021-03-31,19.7,15.7,25.3,0.1,,,8.0,,1016.0,,Antananarivo
2021-04-01,19.6,17.0,23.8,0.5,,,15.5,,1018.6,,Antananarivo
2021-04-02,19.0,16.3,23.2,0.7,,,16.4,,1019.2,,Antananarivo
2021-04-03,18.6,12.9,25.2,0.7,,,8.8,,1018.5,,Antananarivo
2021-04-04,19.6,15.5,26.1,9.0,,,5.6,,1017.0,,Antananarivo
2021-04-05,19.9,15.8,25.6,0.1,,,10.1,,1014.7,,Antananarivo
2021-04-06,19.4,13.0,26.7,0.1,,,5.2,,1015.8,,Antananarivo
2021-04-07,19.1,16.6,22.9,12.1,,,13.0,,1018.8,,Antananarivo
2021-04-08,19.3,16.4,23.2,0.1,,,12.4,,1018.4,,Antananarivo
2021-04-09,19.3,14.8,24.9,0.4,,,10.0,,1015.7,,Antananarivo
2021-04-10,19.3,14.9,24.6,0.6,,,7.6,,1016.3,,Antananarivo
2021-04-11,18.8,14.6,23.8,0.0,,,10.7,,1018.5,,Antananarivo
2021-04-12,19.1,14.2,24.8,0.0,,,12.5,,1019.4,,Antananarivo
2021-04-13,19.1,16.1,24.2,3.9,,,12.9,,1018.9,,Antananarivo
2021-04-14,19.1,16.0,24.8,5.2,,,7.5,,1017.8,,Antananarivo
2021-04-15,19.3,15.8,23.4,3.6,,,3.4,,1016.3,,Antananarivo
2021-04-16,19.4,15.9,24.6,0.7,,,6.9,,1014.7,,Antananarivo
2021-04-17,18.6,14.9,25.3,3.2,,,7.7,,1016.2,,Antananarivo
2021-04-18,16.3,14.3,20.8,0.6,,,16.6,,1021.2,,Antananarivo
2021-04-19,16.5,13.8,21.0,4.2,,,13.3,,1020.9,,Antananarivo
2021-04-20,17.6,14.1,22.7,0.0,,,12.3,,1019.4,,Antananarivo
2021-04-21,17.9,14.0,22.6,0.3,,,11.5,,1019.5,,Antananarivo
2021-04-22,18.3,14.1,24.2,2.8,,,9.6,,1019.2,,Antananarivo
2021-04-23,18.6,16.0,23.8,1.7,,,11.1,,1018.4,,Antananarivo
2021-04-24,18.0,13.8,22.9,0.4,,,12.9,,1018.5,,Antananarivo
2021-04-25,18.5,15.4,22.8,0.8,,,12.5,,1019.0,,Antananarivo
2021-04-26,18.8,16.1,22.6,6.3,,,10.8,,1018.2,,Antananarivo
2021-04-27,18.7,16.0,23.3,4.0,,,11.2,,1017.8,,Antananarivo
2021-04-28,18.7,14.5,23.8,0.7,,,11.9,,1018.8,,Antananarivo
2021-04-29,18.8,15.1,23.8,0.5,,,14.0,,1018.7,,Antananarivo
2021-04-30,18.8,15.5,23.7,0.8,,,10.9,,1017.9,,Antananarivo
2021-05-01,19.4,15.5,25.0,0.6,,,5.7,,1016.5,,Antananarivo
2021-05-02,19.0,15.3,24.7,1.0,,,4.8,,1015.6,,Antananarivo
2021-05-03,18.3,14.6,23.7,2.4,,,6.1,,1014.1,,Antananarivo
2021-05-04,17.6,12.0,23.8,0.8,,,7.7,,1014.1,,Antananarivo
2021-05-05,17.6,12.1,24.6,0.6,,,6.2,,1014.4,,Antananarivo
2021-05-06,18.1,12.3,24.7,0.0,,,6.7,,1015.8,,Antananarivo
2021-05-07,18.4,14.2,23.5,0.1,,,7.0,,1016.6,,Antananarivo
2021-05-08,17.5,14.4,21.7,0.0,,,7.9,,1016.0,,Antananarivo
2021-05-09,17.7,14.5,22.4,3.4,,,5.5,,1015.7,,Antananarivo
2021-05-10,17.5,14.2,21.8,1.6,,,10.4,,1015.6,,Antananarivo
2021-05-11,16.8,11.8,22.1,0.8,,,6.9,,1017.9,,Antananarivo
2021-05-12,17.0,12.6,22.4,0.1,,,9.8,,1020.3,,Antananarivo
2021-05-13,16.8,12.7,21.7,0.8,,,10.5,,1021.2,,Antananarivo
2021-05-14,17.1,12.2,22.6,0.4,,,12.9,,1021.2,,Antananarivo
2021-05-15,17.1,13.4,21.5,0.2,,,13.7,,1020.6,,Antananarivo
2021-05-16,16.4,13.0,21.3,0.0,,,9.6,,1019.9,,Antananarivo
2021-05-17,16.3,11.2,22.8,0.0,,,7.0,,1019.3,,Antananarivo
2021-05-18,16.4,10.4,23.0,0.0,,,8.9,,1020.0,,Antananarivo
2021-05-19,15.8,12.2,21.0,0.3,,,14.1,,1020.7,,Antananarivo
2021-05-20,14.8,12.2,18.5,0.0,,,18.4,,1022.3,,Antananarivo
2021-05-21,13.0,8.7,17.7,0.0,,,13.1,,1023.2,,Antananarivo
2021-05-22,14.5,8.5,20.0,0.0,,,11.4,,1021.3,,Antananarivo
2021-05-23,15.1,9.9,21.1,0.0,,,9.6,,1019.9,,Antananarivo
2021-05-24,15.3,11.9,19.8,2.0,,,6.9,,1020.3,,Antananarivo
2021-05-25,15.5,12.4,20.7,1.3,,,5.5,,1020.9,,Antananarivo
2021-05-26,15.1,11.2,20.7,0.0,,,5.1,,1020.4,,Antananarivo
2021-05-27,15.8,11.0,21.5,0.0,,,5.8,,1020.2,,Antananarivo
2021-05-28,14.9,10.0,22.0,0.0,,,6.0,,1020.5,,Antananarivo
2021-05-29,15.0,8.0,22.8,0.0,,,6.0,,1020.3,,Antananarivo
2021-05-30,16.4,9.7,23.5,0.0,,,6.0,,1020.5,,Antananarivo
2021-05-31,17.2,10.8,23.4,0.2,,,4.5,,1020.3,,Antananarivo
2021-06-01,17.4,14.6,21.4,0.2,,,8.4,,1020.0,,Antananarivo
2021-06-02,15.9,11.8,21.3,0.0,,,10.5,,1021.0,,Antananarivo
2021-06-03,15.8,10.5,22.1,0.0,,,7.8,,1021.3,,Antananarivo
2021-06-04,16.9,13.2,22.0,0.0,,,4.6,,1020.5,,Antananarivo
2021-06-05,16.3,11.5,22.4,0.0,,,7.0,,1019.0,,Antananarivo
2021-06-06,15.2,12.0,19.8,1.0,,,12.2,,1021.2,,Antananarivo
2021-06-07,13.6,11.0,18.1,0.0,,,17.2,,1024.3,,Antananarivo
2021-06-08,13.3,9.1,18.4,0.0,,,15.3,,1024.6,,Antananarivo
2021-06-09,12.8,7.9,18.7,0.0,,,14.8,,1023.2,,Antananarivo
2021-06-10,13.6,10.0,19.8,0.0,,,13.6,,1021.8,,Antananarivo
2021-06-11,13.7,9.3,19.6,0.0,,,11.7,,1021.1,,Antananarivo
2021-06-12,15.2,11.5,19.5,1.1,,,10.7,,1020.8,,Antananarivo
2021-06-13,16.4,13.9,19.6,12.7,,,7.7,,1019.2,,Antananarivo
2021-06-14,15.6,12.1,18.6,31.6,,,4.6,,1018.5,,Antananarivo
2021-06-15,14.5,9.7,21.3,0.0,,,8.0,,1019.6,,Antananarivo
2021-06-16,14.2,10.7,18.4,0.0,,,12.4,,1022.3,,Antananarivo
2021-06-17,13.1,9.3,18.8,0.0,,,9.6,,1023.3,,Antananarivo
2021-06-18,13.8,8.4,20.6,0.0,,,6.3,,1023.9,,Antananarivo
2021-06-19,14.0,9.9,20.4,0.0,,,12.2,,1025.1,,Antananarivo
2021-06-20,13.6,9.9,18.3,0.0,,,16.8,,1026.2,,Antananarivo
2021-06-21,12.9,9.0,16.6,0.2,,,15.7,,1025.9,,Antananarivo
2021-06-22,12.4,8.3,17.6,0.0,,,12.0,,1024.6,,Antananarivo
2021-06-23,12.7,10.0,17.4,0.0,,,11.2,,1024.2,,Antananarivo
2021-06-24,12.5,6.9,19.0,0.0,,,8.5,,1024.1,,Antananarivo
2021-06-25,13.8,10.4,19.6,0.0,,,7.7,,1022.0,,Antananarivo
2021-06-26,13.8,10.4,18.9,0.0,,,4.3,,1020.6,,Antananarivo
2021-06-27,13.8,9.6,19.6,0.0,,,8.5,,1022.0,,Antananarivo
2021-06-28,13.6,8.0,20.3,0.0,,,8.8,,1023.4,,Antananarivo
2021-06-29,14.6,9.5,21.2,0.0,,,7.0,,1023.8,,Antananarivo
2021-06-30,14.2,9.5,19.5,0.0,,,11.0,,1024.3,,Antananarivo
2021-07-01,13.7,8.7,20.1,0.0,,,9.1,,1024.0,,Antananarivo
2021-07-02,14.6,9.4,21.3,0.0,,,9.6,,1023.2,,Antananarivo
2021-07-03,14.7,11.6,19.7,0.0,,,12.5,,1023.3,,Antananarivo
2021-07-04,14.1,9.1,21.1,0.0,,,8.7,,1023.6,,Antananarivo
2021-07-05,13.4,7.8,20.0,0.1,,,9.4,,1023.0,,Antananarivo
2021-07-06,14.0,9.2,20.1,2.8,,,8.5,,1022.1,,Antananarivo
2021-07-07,14.3,11.6,17.9,1.6,,,9.7,,1022.6,,Antananarivo
2021-07-08,14.2,10.8,19.5,0.0,,,14.7,,1024.3,,Antananarivo
