date,city,tavg,tmin,tmax,prcp
2025-07-04,Paris,26.52,25.64,29.09,0.0
2025-07-04,New York,23.74,22.12,25.15,0.0
2025-07-04,Tokyo,27.09,24.88,27.58,0.0
2025-07-04,Antananarivo,15.98,15.98,15.98,0.0
2025-07-04,Sydney,9.51,7.41,10.76,0.0
